,x_emb,y_emb,n,tau,tau_colours
453,0.5776472417413668,0.4936605160227846,500,0,#41b6c4
454,0.6136658687161599,-0.37117491312617795,500,1,#CA054D
455,0.5637208680014606,0.42255379744007704,500,0,#41b6c4
456,0.5840031874483391,-0.3785190195892359,500,1,#CA054D
457,0.6207961387288522,-0.33709807289403976,500,1,#CA054D
458,0.5601798363287717,0.45291876801846453,500,0,#41b6c4
459,0.6534048793756928,-0.5379948743395305,500,1,#CA054D
460,0.6905862492509941,-0.3116504271408451,500,1,#CA054D
461,0.5329149579300445,0.4273777142714607,500,0,#41b6c4
462,0.5469669209921538,-0.28303708505158026,500,1,#CA054D
463,0.5978411557262123,0.43466812899005597,500,0,#41b6c4
464,0.5880264994697523,-0.38565326677856077,500,1,#CA054D
465,0.6105403394159283,-0.35842802671416835,500,1,#CA054D
466,0.604373965889096,-0.3771138969401764,500,1,#CA054D
467,0.6011171938887128,-0.3760816725257699,500,1,#CA054D
468,0.5837575758829426,0.44430239077745665,500,0,#41b6c4
469,0.5364787067721914,0.4753733520351923,500,0,#41b6c4
470,0.5613466496430851,0.37435440927755576,500,0,#41b6c4
471,0.5925683898086556,0.5214805012108827,500,0,#41b6c4
472,0.6156449939236655,0.5062191770976685,500,0,#41b6c4
473,0.6731802368732558,-0.37543933285272346,500,1,#CA054D
474,0.5599424397210198,0.401474107673741,500,0,#41b6c4
475,0.6341841858339846,-0.35441822435424974,500,1,#CA054D
476,0.6151471209660412,0.4466147868906716,500,0,#41b6c4
477,0.6040202658167658,-0.3556477302728541,500,1,#CA054D
478,0.5619237874260824,-0.34280319929894115,500,1,#CA054D
479,0.551941485992237,0.33200713194081394,500,0,#41b6c4
480,0.5916620179572329,0.33371575027824385,500,0,#41b6c4
481,0.603789808998096,0.41544300707293835,500,0,#41b6c4
482,0.570274222120705,0.4908941693569123,500,0,#41b6c4
483,0.6170366104004669,-0.34598114569055943,500,1,#CA054D
484,0.6365152216888189,-0.3596092165271875,500,1,#CA054D
485,0.5787656712447586,0.42746890383144404,500,0,#41b6c4
486,0.6321024088952958,-0.39561234604498446,500,1,#CA054D
487,0.5466958369241323,0.36927292368695697,500,0,#41b6c4
488,0.6042158575192936,-0.34733130718361765,500,1,#CA054D
489,0.5347049930113614,0.3791159269781739,500,0,#41b6c4
490,0.6079595789831661,0.48876256426307874,500,0,#41b6c4
491,0.6308718138922492,-0.46091076025164857,500,1,#CA054D
492,0.651148373912677,0.42407029940616414,500,0,#41b6c4
493,0.6496014031801448,-0.3680546829969791,500,1,#CA054D
494,0.5791877296277881,0.42376451377397123,500,0,#41b6c4
495,0.6341345598397248,-0.3794322284041869,500,1,#CA054D
496,0.5997656179134607,0.4406392064014245,500,0,#41b6c4
497,0.5961629777806173,-0.3305291649359039,500,1,#CA054D
498,0.5749463265818868,-0.4117078554131098,500,1,#CA054D
499,0.6219434843761947,-0.44726617359959386,500,1,#CA054D
500,0.6442127080856144,0.4912621665720427,500,0,#41b6c4
501,0.6002534059821224,-0.39228320998855953,500,1,#CA054D
502,0.572311746104891,0.31551930110871274,500,0,#41b6c4
503,0.5666744509847819,0.4106348012321178,500,0,#41b6c4
504,0.6748662964404897,-0.4500114042601247,500,1,#CA054D
505,0.5645761796726126,0.37745245105937847,500,0,#41b6c4
506,0.621970018217998,-0.39236278166284927,500,1,#CA054D
507,0.6688509138143119,-0.450503900269009,500,1,#CA054D
508,0.5637422714674197,0.3443839517215053,500,0,#41b6c4
509,0.6436563267126997,-0.4562340484333911,500,1,#CA054D
510,0.549513294838079,0.37186195579341735,500,0,#41b6c4
511,0.6181230814501606,0.4911730784837369,500,0,#41b6c4
512,0.606477147027518,-0.42358606900900636,500,1,#CA054D
513,0.6565181929603693,-0.395613771097983,500,1,#CA054D
514,0.5977308094456945,0.5010518983686861,500,0,#41b6c4
